quality,raw_psnr,com_psnr,raw_ssim,com_ssim
5,35.74268427489974,35.72168157229417,0.9814090567769165,0.9814318471239246
10,39.88570071184188,39.82210171003443,0.9881267866314468,0.9881520500112801
15,41.026039447771566,40.839943527132405,0.9904861721547693,0.9904599004093869
20,42.33384663361832,42.109102063503855,0.9918120837282679,0.9917994416525798
25,43.03145219149737,42.75917861408942,0.9938677351415597,0.993865852277127
30,43.70250788080149,43.39774405973574,0.9949723962107087,0.9947008956735227
35,44.30512908096944,43.91742565816928,0.9951543954507527,0.9949403384384881
40,44.66348550865106,44.17737558118884,0.9946812140558415,0.9947172066914813
45,45.09515208668666,44.584218425615,0.9952313917493404,0.9953256742160876
50,45.43761636794759,44.84651302359338,0.9951129818727174,0.9954412491893707
55,45.706571603026724,44.98305299197111,0.9959854964128703,0.9959705576145884
60,46.21749867634483,45.44935887142139,0.9959274965574784,0.9962489620880703
65,46.599053724941086,45.66073341840277,0.996746173570179,0.9965542904707619
70,47.401815141999684,46.312728946492705,0.9974778633370688,0.997101699812563
75,48.438567356688424,47.10219787244669,0.9978495925087916,0.9976841970826367
80,49.0754351488009,47.49924384463088,0.9981453725500687,0.9982120994338022
85,50.416696558241,48.22763636001596,0.9986584287545949,0.9985368696528508
90,57.018230419108,50.77608835589169,0.9993385401029433,0.9991596934405055
